tokens	ner_tags	langs	spans
"[""'"" ""''"" 'Domenico' 'Pozzovivo' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Domenico Pozzovivo']
['Alexander' 'von' 'Middendorff']	[1 2 2]	['fr' 'fr' 'fr']	['PER: Alexander von Middendorff']
"['Liste' 'des' 'communes' 'de' ""l'Isère""]"	[5 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr']	"[""LOC: Liste des communes de l'Isère""]"
['Subdivisions' 'de' 'la' 'République' 'de' 'Macédoine']	[5 6 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Subdivisions de la République de Macédoine']
"[""'"" ""''"" 'Hanwha' 'Eagles' ""''"" ""'""]"	[0 0 3 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Hanwha Eagles']
"['On' 'rencontre' 'des' 'populations' 'en' 'Bolivie' ',' 'au' 'Pérou' 'et'
 'au' 'Brésil' '.']"	[0 0 0 0 0 5 0 0 5 0 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Bolivie' 'LOC: Pérou' 'LOC: Brésil']
"[""'"" ""''"" 'Edward' 'R.' 'Murrow' ""''"" ""'""]"	[0 0 1 2 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Edward R. Murrow']
['Louis-Mathias' 'de' 'Barral']	[1 2 2]	['fr' 'fr' 'fr']	['PER: Louis-Mathias de Barral']
['Oak' 'Ridge' '(' 'Tennessee' ')']	[5 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Oak Ridge ( Tennessee )']
"['REDIRECTION' 'Train' 'of' 'Thought' '(' 'album' 'de' 'Reflection'
 'Eternal' ')']"	[0 3 4 4 4 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Train of Thought ( album de Reflection Eternal )']
['Goujon' '(' 'poisson' ')']	[5 6 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: Goujon ( poisson )']
"['À' 'Tratalias' 'se' 'trouve' ""l'ancienne"" 'et' 'à' ""Sant'Antioco"" 'la'
 '.']"	[0 5 0 0 0 0 0 5 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"['LOC: Tratalias' ""LOC: Sant'Antioco""]"
['La' 'Salle]]' ',' 'Senozan' ',' 'Sologny' ',' 'Verzé' ',' 'Viré' '.']	[0 0 0 5 0 5 0 5 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Senozan' 'LOC: Sologny' 'LOC: Verzé' 'LOC: Viré']
['Liste' 'des' 'communes' 'de' 'la' 'Corrèze']	[5 6 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Liste des communes de la Corrèze']
"[""'"" ""''"" 'MV' 'Agusta' ""''"" ""'""]"	[0 0 3 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: MV Agusta']
"['La' 'Directive-cadre' 'sur' ""l'eau"" '(' 'D.C.E' '.']"	[0 3 4 4 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"[""ORG: Directive-cadre sur l'eau""]"
"[""'"" ""''"" '14' ""''"" ""'"" 'Václav' 'Pilař']"	[0 0 0 0 0 1 2]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Václav Pilař']
"['On' 'le' 'retrouve' 'surtout' 'en' 'Espagne' ',' 'au' 'Portugal' 'et'
 'en' 'Tunisie' '.']"	[0 0 0 0 0 5 0 0 5 0 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Espagne' 'LOC: Portugal' 'LOC: Tunisie']
"[""'"" ""''"" 'Aprilia' ""''"" ""'""]"	[0 0 3 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Aprilia']
['Lee' 'Janzen' '(' '2' '/' '2' ')']	[1 2 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Lee Janzen']
"['Construit' 'par' 'Tōgo' 'Murano' ';' 'pour' ""l'industriel""]"	[0 0 1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Tōgo Murano']
"[""'"" ""''"" 'Jules' 'Cluzel' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Jules Cluzel']
"[""C'est"" 'aussi' 'lui' 'qui' 'accueille' 'officiellement' 'Condoleezza'
 'Rice' 'quand' 'elle' 'visite' 'le' 'pays' '.']"	[0 0 0 0 0 0 1 2 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Condoleezza Rice']
"[""''Zéro"" 'défaut' ""''"" '(' '1998' ')']"	[0 0 0 0 3 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: 1998']
['Reichenbach' '(' 'Haute-Lusace' ')']	[5 6 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: Reichenbach ( Haute-Lusace )']
"[""'"" ""''"" 'SV' 'Stuttgarter' 'Kickers' ""''"" ""'"" ""'"" ""''"" ""'"" ""''""]"	[0 0 3 4 4 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: SV Stuttgarter Kickers']
['Lubmin' '(' ')']	[5 0 0]	['fr' 'fr' 'fr']	['LOC: Lubmin']
"['Meuse]]' '-' 'Canal' 'Albert' ""''""]"	[0 0 5 6 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Canal Albert']
"[""'"" ""''"" 'Casey' 'Stengel' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Casey Stengel']
['Il' 'vit' 'et' 'travaille' 'à' 'Rome' '.']	[0 0 0 0 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Rome']
"['Christophe' 'Willem' 'chante' ""''L'été"" 'en' 'hiver' ""''""]"	[1 2 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Christophe Willem']
"[""''"" 'Sainte' 'Philomène' ""''"" '.']"	[0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Sainte Philomène']
['Liste' 'des' 'communes' 'de' 'la' 'Loire-Atlantique']	[5 6 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Liste des communes de la Loire-Atlantique']
['Les' 'Lacs-du-Témiscamingue' ',' 'territoire' 'non' 'organisé']	[5 6 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Les Lacs-du-Témiscamingue']
"['Sélectionné' 'à' '58' 'reprises' 'pour' 'quatre' 'buts' 'inscrits' 'en'
 'équipe' 'nationale' ',' 'il' 'dispute' 'avec' 'celle-ci' 'la' 'Coupe'
 'du' 'monde' '1982' '.']"	[0 0 0 0 0 0 0 0 0 3 4 0 0 0 0 0 0 3 4 4 4 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']"	['ORG: équipe nationale' 'ORG: Coupe du monde 1982']
"['Liste' 'des' 'communes' 'de' ""l'Essonne""]"	[5 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr']	"[""LOC: Liste des communes de l'Essonne""]"
"[""'"" ""''"" 'Thomas' 'Lüthi' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Thomas Lüthi']
"[""'"" ""''"" 'Felix' 'Gottwald' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Felix Gottwald']
"['Au' ',' 'certains' 'architectes' 'occidentaux' ',' 'par' 'exemple'
 'Eugène' 'Viollet-le-Duc' ',' ""s'attachent"" 'fortement' 'à' ""l'aspect""
 'constructif' '.']"	[0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr']"	['PER: Eugène Viollet-le-Duc']
['REDIRECTION' 'Secrets' 'de' 'famille' '(' 'série' 'télévisée' ')']	[0 3 4 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Secrets de famille ( série télévisée )']
['Théodore' 'Ier' 'Lascaris']	[1 2 2]	['fr' 'fr' 'fr']	['PER: Théodore Ier Lascaris']
['Il' 'mesure' '1,98' 'm' 'et' 'joue' 'pour' 'le' 'FC' 'Barcelone' '.']	[0 0 0 0 0 0 0 0 3 4 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: FC Barcelone']
['Antonio' 'Caggiano' '(' '1946-1979' ')']	[1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Antonio Caggiano']
"[""'"" ""''"" 'Aprilia' ""''"" ""'""]"	[0 0 3 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Aprilia']
['Rey' 'Mysterio' 'bat' '.']	[1 2 0 0]	['fr' 'fr' 'fr' 'fr']	['PER: Rey Mysterio']
"['Il' 'y' 'côtoie' 'des' 'élus' 'prestigieux' 'comme' 'Emmanuel'
 ""d'Astier"" 'de' 'la' 'Vigerie' 'ou' 'Pierre' 'Cot' '.']"	[0 0 0 0 0 0 0 1 2 2 2 2 0 1 2 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr']"	"[""PER: Emmanuel d'Astier de la Vigerie"" 'PER: Pierre Cot']"
['Sanche' 'IV' 'de' 'Castille']	[1 2 2 2]	['fr' 'fr' 'fr' 'fr']	['PER: Sanche IV de Castille']
"['**' 'Zachary' 'Levi' 'pour' 'Chuck' ""''""]"	[0 1 2 0 3 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Zachary Levi' 'ORG: Chuck']
"['Johnny' 'Giles' 'prend' 'sa' 'suite' 'en' 'tant' 'que'
 'sélectionneur-joueur' '.']"	[1 2 0 0 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Johnny Giles']
"[""'"" ""''"" 'Standard' 'de' 'Liège' ""''"" ""'""]"	[0 0 3 4 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Standard de Liège']
['François' 'Bernier' '(' 'philosophe' ')']	[1 2 2 2 2]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: François Bernier ( philosophe )']
['Son' 'corps' 'est' 'retrouvé' 'dans' 'le' 'Danube' 'le' '.']	[0 0 0 0 0 0 5 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Danube']
"[""'"" ""''"" 'Masao' 'Shimizu' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Masao Shimizu']
"['Happy' 'Tree' 'Friends' ""''""]"	[3 4 4 0]	['fr' 'fr' 'fr' 'fr']	['ORG: Happy Tree Friends']
['Taura' '(' '2.611' ')']	[5 0 0 0]	['fr' 'fr' 'fr' 'fr']	['LOC: Taura']
"[""'"" ""''"" 'Žalgiris' 'Kaunas' ""''"" ""'""]"	[0 0 3 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Žalgiris Kaunas']
"[""D'autres"" 'compositeurs' ',' 'comme' 'Liszt' 'et' 'Ravel' ',' 'en' 'ont'
 'également' 'eu' 'un' '.']"	[0 0 0 0 1 0 1 0 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Liszt' 'PER: Ravel']
"['Ministère' 'de' ""l'Éducation"" 'nationale']"	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	"[""ORG: Ministère de l'Éducation nationale""]"
['Karenn' 'sur' 'Resident' 'Advisor']	[0 0 3 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Resident Advisor']
['Liste' 'des' 'cantons' 'de' 'la' 'Guadeloupe']	[5 6 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Liste des cantons de la Guadeloupe']
['élection' 'eut' 'lieu' 'le' '17' 'septembre' '1879' '.']	[3 4 4 4 4 4 4 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: élection eut lieu le 17 septembre 1879']
"[""'"" ""''"" 'Galina' 'Kulakova' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Galina Kulakova']
['Memmingen' '-' 'Füssen' '(' 'D' ')']	[5 0 5 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Memmingen' 'LOC: Füssen']
['Il' 'est' 'situé' 'dans' 'les' 'Alpes' 'dinariques' '.']	[0 0 0 0 0 5 6 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Alpes dinariques']
"[""'"" ""''"" 'Jenson' 'Button' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Jenson Button']
['23' 'Alex' 'Job' 'Racing']	[0 3 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Alex Job Racing']
['Le' 'climat' 'est' 'océanique' 'avec' 'des' 'étés' 'tempérés' '.']	[0 0 0 5 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: océanique']
['Il' 'vit' 'et' 'travaille' 'à' 'Paris' 'et' 'en' 'Grèce' '.']	[0 0 0 0 0 5 0 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Paris' 'LOC: Grèce']
"['Depuis' 'la' 'cinquième' 'saison' ',' 'les' 'saisons' 'des' ""''Simpson""
 ""''"" 'ne' 'sortent' 'plus' 'en' 'coffret' 'VHS' '.']"	[0 0 3 4 0 0 0 0 0 0 0 0 0 0 0 1 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr']"	['ORG: cinquième saison' 'PER: VHS']
"[""L'ancienne"" 'cathédrale' 'Saint-Joseph' 'Antigua' 'Guatemala' '.']"	[0 3 4 5 6 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: cathédrale Saint-Joseph' 'LOC: Antigua Guatemala']
['Éric' 'Bernard' 'Aguri' 'Suzuki' 'Bertrand' 'Gachot']	[1 2 1 2 1 2]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Éric Bernard' 'PER: Aguri Suzuki' 'PER: Bertrand Gachot']
['Chorégraphie' 'des' 'services' 'web' 'WS-*']	[3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Chorégraphie des services web WS-*']
"[""'"" ""''"" 'Manchester' 'City' ""''"" ""'""]"	[3 4 4 4 4 3]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"[""ORG: ' '' Manchester City ''"" ""ORG: '""]"
['REDIRECTION' 'Symphonie' 'nº' '6' 'de' 'Beethoven']	[0 3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Symphonie nº 6 de Beethoven']
"['Je' ""n'ai"" 'que' 'mon' 'âme' ""''""]"	[3 4 4 4 4 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"[""ORG: Je n'ai que mon âme""]"
"['Hergest' 'Ridge' ""''"" '(' 'extrait' ')']"	[3 4 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Hergest Ridge']
"['I' 'Can' 'See' 'for' 'Miles' ""''"" '–' '4:17']"	[3 4 4 4 4 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: I Can See for Miles']
"['Équipe' ""d'Espagne"" 'de' 'football']"	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	"[""ORG: Équipe d'Espagne de football""]"
"[""'"" ""''"" 'Stanisław' 'Czaykowski' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Stanisław Czaykowski']
['District' 'de' 'Baota']	[5 6 6]	['fr' 'fr' 'fr']	['LOC: District de Baota']
"['Il' 'est' 'destiné' 'aux' '‘Indes' 'Orientales’' ""c'est-à-dire"" 'le'
 'Nouveau' 'Monde' '.']"	[0 0 0 0 0 0 0 0 5 6 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Nouveau Monde']
"['Plusieurs' 'personnalités' 'et' 'artistes' 'noirs' 'fréquentent' 'ses'
 'parents' ',' 'dont' 'Dizzy' 'Gillespie' ',' 'Miles' 'Davis' ',' 'Chuck'
 'Berry' ',' 'W.' 'E.' 'B.' 'Du' 'Bois' ',' 'ou' 'encore' 'Joséphine'
 'Baker' '.']"	[0 0 0 0 0 0 0 0 0 0 1 2 0 1 2 0 1 2 0 1 2 2 2 2 0 0 0 1 2 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr']"	"['PER: Dizzy Gillespie' 'PER: Miles Davis' 'PER: Chuck Berry'
 'PER: W. E. B. Du Bois' 'PER: Joséphine Baker']"
"[""'"" ""''"" 'All' 'Japan' 'Pro' 'Wrestling' ""''"" ""'""]"	[0 0 3 4 4 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: All Japan Pro Wrestling']
['Aftermath' 'Entertainment' ',' 'label' 'créé' 'par' 'Dr.' 'Dre' ';']	[3 4 0 3 0 0 1 2 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Aftermath Entertainment' 'ORG: label' 'PER: Dr. Dre']
"['Le' 'rôle-titre' 'est' ',' 'dans' 'cette' 'nouvelle' 'version' ','
 'tenu' 'par' 'Rutger' 'Hauer' '.']"	[0 0 0 0 0 0 0 0 0 0 0 1 2 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Rutger Hauer']
"['Hombourg]]' ',' 'Niffer' ',' 'Ottmarsheim' ',' 'Petit-Landau' ','
 'Riedisheim' ',' 'Rixheim' ',' 'Sausheim' '.']"	[0 0 5 0 5 0 5 0 5 0 5 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"['LOC: Niffer' 'LOC: Ottmarsheim' 'LOC: Petit-Landau' 'LOC: Riedisheim'
 'LOC: Rixheim' 'LOC: Sausheim']"
['Comté' 'de' 'Washtenaw']	[5 6 6]	['fr' 'fr' 'fr']	['LOC: Comté de Washtenaw']
"[""'"" ""''"" 'Daijiro' 'Kato' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Daijiro Kato']
['Force' 'aérienne' 'grecque']	[3 4 4]	['fr' 'fr' 'fr']	['ORG: Force aérienne grecque']
['Bureau' 'international' 'de' 'la' 'paix']	[3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Bureau international de la paix']
"[""'"" ""''"" 'Anders' 'Jacobsen' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Anders Jacobsen']
"['Théories' ""d'une"" 'vitesse' 'de' 'lumière' 'variable']"	[3 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"[""ORG: Théories d'une vitesse de lumière variable""]"
['Liste' 'des' 'ducs' 'de' 'Montmorency']	[1 2 2 2 2]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Liste des ducs de Montmorency']
"[""'"" ""''"" 'Axelle' 'Lemaire' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Axelle Lemaire']
"[""'"" ""''"" 'Reggiane' ""''"" ""'""]"	[0 0 3 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Reggiane']
"['El' 'Biar' '-' 'Ben' 'Aknoun' '-' 'Dely' 'Ibrahim' '-' 'Ouled' 'Fayet'
 '-' 'Baba' 'Hassen' '-' 'Douera' '-' 'Tessala' 'El' 'Merdja']"	[5 6 0 5 6 0 5 6 0 5 6 0 5 6 0 5 0 5 6 6]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']"	"['LOC: El Biar' 'LOC: Ben Aknoun' 'LOC: Dely Ibrahim' 'LOC: Ouled Fayet'
 'LOC: Baba Hassen' 'LOC: Douera' 'LOC: Tessala El Merdja']"
"[""'"" ""''"" 'temps' 'intermédiaire' ""''"" 'Amboise' '(' ')']"	[0 0 0 0 0 5 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Amboise']
"[""'"" ""''"" 'Sharon' 'Walsh' 'Valerie' 'Ziegenfuss' ""''"" ""'""]"	[0 0 1 2 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Sharon Walsh' 'PER: Valerie Ziegenfuss']
"['Honest' ',' 'braqueurs' 'de' 'père' 'en' 'fils' ""''""]"	[1 2 2 2 2 2 2 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Honest , braqueurs de père en fils']
['François-Joseph' 'Navez' '(' '1787-1869' ')']	[1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: François-Joseph Navez']
['Championnat' 'de' 'Gambie' 'de' 'football']	[3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Championnat de Gambie de football']
